mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1		E.IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
1	1	3/8	3/8	4/4	3	1		IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
1	1	1/2	1/2	4/4	3	1		IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
1	1	7/8	7/8	4/4	3	1		IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
2	2	0	0	2/4	3	1		IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
3	3	0	0	4/4	3	1		IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
3	3	3/8	3/8	4/4	3	1		V43(+6b5)/vi		E	I		V43(+6b5)/vi	V		43	+6b5	vi			Mm7	0	0	-2, 2, 4, 8	0	4	-2
3	3	1/2	1/2	4/4	3	1		IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
3	3	7/8	7/8	4/4	3	1		V43(+6b5)/vi		E	I		V43(+6b5)/vi	V		43	+6b5	vi			Mm7	0	0	-2, 2, 4, 8	0	4	-2
4	4	0	0	4/4	3	1		IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
4	4	1/4	1/4	4/4	3	1		V7(9+#4)/bIII		E	I		V7(9+#4)/bIII	V		7	9+#4	bIII			Mm7	0	0	-2, 2, -1, -4	0, 4	-2	-2
4	4	1/2	1/2	4/4	3	1		V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
4	4	5/8	5/8	4/4	3	1		V43(+6b5)/ii		E	I		V43(+6b5)/ii	V		43	+6b5	ii			Mm7	0	0	-3, 1, 3, 7	-1	3	-3
4	4	3/4	3/4	4/4	3	1		V7(9+#4)/IV		E	I		V7(9+#4)/IV	V		7	9+#4	IV			Mm7	0	0	0, 4, 1, -2	2, 6	0	0
4	4	7/8	7/8	4/4	3	1		V7(9b5)/ii		E	I		V7(9b5)/ii	V		7	9b5	ii			Mm7	0	0	3, 7, -3, 1	-2	3	3
5	5	0	0	4/4	3	1		V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
5	5	3/8	3/8	4/4	3	1		V7(9b5)/ii		E	I		V7(9b5)/ii	V		7	9b5	ii			Mm7	0	0	3, 7, -3, 1	-2	3	3
5	5	1/2	1/2	4/4	3	1		V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
5	5	7/8	7/8	4/4	3	1		V7(9b5)/ii		E	I		V7(9b5)/ii	V		7	9b5	ii			Mm7	0	0	3, 7, -3, 1	-2	3	3
6	6	0	0	4/4	3	1		V43(+6b5)/iv		E	I		V43(+6b5)/iv	V		43	+6b5	iv			Mm7	0	0	-6, -2, 0, 4	-4	0	-6
6	6	5/8	5/8	4/4	3	1		V7/vi		E	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
6	6	3/4	3/4	4/4	3	1		V7/V		E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
6	6	7/8	7/8	4/4	3	1		V43(b5)\\		E	I		V43(b5)	V		43	b5			\\	Mm7	0	0	-5, -1, 1, 5		1	-5
7	7	0	0	4/4	3	1		IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
7	7	3/8	3/8	4/4	3	1		IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
7	7	1/2	1/2	4/4	3	1		IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
7	7	7/8	7/8	4/4	3	1		IVM7		E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
8	8	0	0	2/4	3	1		IM7(9)		E	I		IM7(9)	I	M	7	9				MM7	0	0	0, 4, 1, 5	2	0	0
9	9	0	0	4/4	3	1		vi.i2		E	vi		i2	i		2					mm7	0	1	-2, 0, -3, 1		0	-2
9	9	1/4	1/4	4/4	3	1		iv2		E	vi		iv2	iv		2					mm7	0	1	-3, -1, -4, 0		-1	-3
9	9	1/2	1/2	4/4	3	1		i2		E	vi		i2	i		2					mm7	0	1	-2, 0, -3, 1		0	-2
9	9	3/4	3/4	4/4	3	1		iv2		E	vi		iv2	iv		2					mm7	0	1	-3, -1, -4, 0		-1	-3
10	10	0	0	4/4	3	1		i2		E	vi		i2	i		2					mm7	0	1	-2, 0, -3, 1		0	-2
10	10	1/4	1/4	4/4	3	1		iv2		E	vi		iv2	iv		2					mm7	0	1	-3, -1, -4, 0		-1	-3
10	10	1/2	1/2	4/4	3	1		ii%43(+4)		E	vi		ii%43(+4)	ii	%	43	+4				%7	0	1	-4, 0, 2, -1	1	2	-4
10	10	7/8	7/8	4/4	3	1		ii%7		E	vi		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
11	11	0	0	4/4	3	1		i		E	vi		i	i							m	0	1	0, -3, 1		0	0
11	11	1/2	1/2	4/4	3	1		bIIM43(+4)		E	vi		bIIM43(+4)	bII	M	43	+4				MM7	0	1	-4, 0, -5, -1	1	-5	-4
12	12	0	0	4/4	3	1		i		E	vi		i	i							m	0	1	0, -3, 1		0	0
13	13	0	0	4/4	3	1		vii7		E	vi		vii7	vii		7					mm7	0	1	-2, -5, -1, -4		-2	-2
13	13	7/32	7/32	4/4	3	1		i		E	vi		i	i							m	0	1	0, -3, 1		0	0
13	13	1/2	1/2	4/4	3	1		vii43		E	vi		vii43	vii		43					mm7	0	1	-1, -4, -2, -5		-2	-1
13	13	23/32	23/32	4/4	3	1		i		E	vi		i	i							m	0	1	0, -3, 1		0	0
