mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-5	3/4	3/4	0						firstMeasure	2
2	2	-5	3/4	3/4	0					line		3
3	3	-5	3/4	3/4	0							4
4	4	-5	3/4	3/4	0					line		5
5	5	-5	3/4	3/4	0							6
6	6	-5	3/4	3/4	0					line		7
7	7	-5	3/4	3/4	0							8
8	8	-5	3/4	3/4	0							9
9	9	-5	3/4	3/4	0					page		10
10	10	-5	3/4	3/4	0							11
11	11	-5	3/4	3/4	0							12
12	12	-5	3/4	3/4	0					line		13
13	13	-5	3/8	3/8	0							14
14	14	-5	5/8	5/8	0							15
15	15	-5	5/8	5/8	0					line		16
16	16	-5	6/8	3/4	0							17
17	17	-5	6/8	3/4	0					line		18
18	18	-5	6/8	3/4	0							19
19	19	-5	6/8	1	0					line		20
20	20	-5	6/8	3/4	0							21
21	21	-5	2/4	1/2	0							22
22	22	-5	2/4	1/2	0					page		23
23	23	-5	3/8	3/8	0							24
24	24	-5	2/4	1/2	0							25
25	25	-5	2/4	1/2	0					line		26
26	26	-5	3/8	3/8	0							27
27	27	-5	5/8	5/8	0							28
28	28	-5	5/8	5/8	0					line		29
29	29	-5	5/8	5/8	0							30
30	30	-5	2/4	1/2	0							31
31	31	-5	5/8	7/8	0					line		32
32	32	-5	5/8	5/8	0							33
33	33	-5	6/8	3/4	0							34
34	34	-5	6/8	3/4	0					line		35
35	35	-5	6/8	3/4	0							36
36	36	-5	6/8	21/16	0				double	page		37
37	37	-5	5/4	5/4	0							38
38	38	-5	5/4	5/4	0							39
39	39	-5	3/4	3/4	0							40
40	40	-5	3/4	3/4	0					line		41
41	41	-5	5/4	5/4	0							42
42	42	-5	3/4	3/4	0							43
43	43	-5	3/4	3/4	0							44
44	44	-5	3/4	3/4	0					line		45
45	45	-5	5/4	5/4	0							46
46	46	-5	3/4	3/4	0							47
47	47	-5	3/4	3/4	0							48
48	48	-5	3/4	3/4	0							49
49	49	-5	3/4	3/4	0					line		50
50	50	-5	3/4	3/4	0							51
51	51	-5	5/4	21/16	0							52
52	52	-5	4/4	1	0							53
53	53	-5	5/4	5/4	0					line		54
54	54	-5	5/4	5/4	0							55
55	55	-5	3/4	3/4	0							56
56	56	-5	3/4	3/4	0							57
57	57	-5	3/4	3/4	0					line		58
58	58	-5	3/4	3/4	0							59
59	59	-5	3/4	3/4	0							60
60	60	-5	3/4	3/4	0							61
61	61	-5	3/4	3/4	0							62
62	62	-5	3/4	3/4	0					line		63
63	63	-5	3/4	3/4	0							64
64	64	-5	3/4	3/4	0							65
65	65	-5	3/4	3/4	0					line		66
66	66	-5	3/4	3/4	0							67
67	67	-5	3/4	3/4	0							68
68	68	-5	3/4	3/4	0							69
69	69	-5	3/4	3/4	0					line		70
70	70	-5	3/4	3/4	0							71
71	71	-5	3/4	3/4	0							72
72	72	-5	3/4	3/4	0							73
73	73	-5	3/4	3/4	0					line		74
74	74	-5	3/4	3/4	0							75
75	75	-5	3/4	3/4	0							76
76	76	-5	3/4	3/4	0					line		77
77	77	-5	3/4	3/4	0							78
78	78	-5	3/4	3/4	0							79
79	79	-5	3/4	3/4	0					line		80
80	80	-5	3/4	3/4	0							81
81	81	-5	3/4	3/4	0							82
82	82	-5	3/4	3/4	0					line		83
83	83	-5	3/4	3/4	0							84
84	84	-5	3/4	3/4	0							85
85	85	-5	3/4	3/4	0					line		86
86	86	-5	3/4	3/4	0							87
87	87	-5	3/4	3/4	0							88
88	88	-5	3/4	3/4	0					line		89
89	89	-5	3/4	3/4	0							90
90	90	-5	3/4	3/4	0							91
91	91	-5	3/4	3/4	0					page		92
92	92	-5	3/4	3/4	0							93
93	93	-5	3/4	3/4	0							94
94	94	-5	3/4	3/4	0							95
95	95	-5	3/4	3/4	0					line		96
96	96	-5	3/4	3/4	0							97
97	97	-5	3/8	3/8	0							98
98	98	-5	6/8	3/4	0					line		99
99	99	-5	6/8	3/4	0							100
100	100	-5	6/8	3/4	0					line		101
101	101	-5	6/8	3/4	0							102
102	102	-5	6/8	3/4	0					line		103
103	103	-5	6/8	1	0							104
104	104	-5	6/8	3/4	0					page		105
105	105	-5	2/4	1/2	0							106
106	106	-5	2/4	1/2	0							107
107	107	-5	3/8	3/8	0					line		108
108	108	-5	2/4	1/2	0							109
109	109	-5	2/4	1/2	0							110
110	110	-5	3/8	3/8	0					line		111
111	111	-5	5/8	5/8	0							112
112	112	-5	5/8	5/8	0					line		113
113	113	-5	5/8	5/8	0							114
114	114	-5	2/4	1/2	0							115
115	115	-5	5/8	7/8	0					line		116
116	116	-5	5/8	5/8	0							117
117	117	-5	6/8	3/4	0							118
118	118	-5	6/8	3/4	0					line		119
119	119	-5	6/8	3/4	0							120
120	120	-5	6/8	3/2	0					line		121
121	121	-5	6/8	41/16	0					line		122
122	122	-5	3/4	3/4	0							123
123	123	-5	3/4	3/4	0							124
124	124	-5	3/4	3/4	0							125
125	125	-5	3/4	3/4	0							126
126	126	-5	3/4	3/4	0					line		127
127	127	-5	3/4	3/4	0							128
128	128	-5	3/4	3/4	0							129
129	129	-5	3/4	3/4	0					line		130
130	130	-5	3/4	3/4	0							131
131	131	-5	3/4	3/4	0							132
132	132	-5	3/4	3/4	0				end		lastMeasure	-1
