mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-6	4/4	1	0						firstMeasure	2
2	2	-6	4/4	1	0							3
3	3	-6	3/4	3/4	0					line		4
4	4	-6	4/4	1	0							5
5	5	-6	4/4	1	0					line		6
6	6	-6	12/8	3/2	0							7
7	7	-6	4/4	1	0					line		8
8	8	-6	4/4	1	0							9
9	9	-6	2/4	1/2	0					page		10
10	10	4	4/4	1	0							11
11	11	4	4/4	1	0					line		12
12	12	4	4/4	1	0							13
13	13	4	4/4	1/2	0					line		14
14	14	4	4/4	1/2	1/2							15
15	15	4	4/4	1/2	0					line		16
16	16	4	4/4	1/2	1/2							17
17	17	4	4/4	9/16	0					line		18
18	18	4	4/4	1/2	1/2							19
19	19	4	4/4	1/4	0					page		20
20	20	4	4/4	3/4	1/4					line		21
21	21	4	4/4	1	0					line		22
22	22	4	2/4	1/2	0							23
23	23	4	4/4	1	0				double			24
24	24	-1	4/4	1/2	0					line		25
25	25	-1	4/4	1/2	1/2							26
26	26	-1	4/4	1	0							27
27	27	-1	4/4	1/2	0					line		28
28	28	-1	4/4	1/2	1/2							29
29	29	-1	4/4	1	0							30
30	30	-1	2/4	1/2	0					page		31
31	31	-1	2/4	5/4	0					line		32
32	32	-1	2/4	5/4	0					line		33
33	33	-1	2/4	1	0					line		34
34	34	0	4/4	1	0							35
35	35	0	4/4	1	0							36
36	36	0	4/4	1	0					line		37
37	37	-6	4/4	1	0							38
38	38	-6	4/4	1	0							39
39	39	-6	4/4	1	0							40
40	40	-6	4/4	1	0				end		lastMeasure	-1
