rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	harmony_version	annotated_key	annotators	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument
MS3	Ravel_-_Jeux_dEau	88	88	1: 4	1: 4/4, 2: 2/4, 3: 4/4, 8: 2/4, 9: 4/4, 17: 2/4, 18: 4/4, 49: 2/4, 50: 4/4, 54: 2/4, 55: 3/4, 56: 4/4, 57: 2/4, 59: 3/4, 60: 4/4, 63: 2/4, 64: 4/4, 67: 2/4, 68: 4/4, 87: 2/4, 88: 4/4	257	2.1.0	E	Adrian Nagel	Maurice Ravel	Jeux d'eau								2017-11-19	3.02	Microsoft Windows			3.6.2	30-95 (F#1-B6)	1905	1901	30-95 (F#1-B6)	Piano	30-94 (F#1-Bb6)	Piano	40-75 (E2-D#5)	Piano
MS3	Ravel_-_Miroirs_I._Noctuelles	132	132	1: -5	1: 3/4, 13: 3/8, 14: 5/8, 16: 6/8, 21: 2/4, 23: 3/8, 24: 2/4, 26: 3/8, 27: 5/8, 30: 2/4, 31: 5/8, 33: 6/8, 37: 5/4, 39: 3/4, 41: 5/4, 42: 3/4, 45: 5/4, 46: 3/4, 51: 5/4, 52: 4/4, 53: 5/4, 55: 3/4, 97: 3/8, 98: 6/8, 105: 2/4, 107: 3/8, 108: 2/4, 110: 3/8, 111: 5/8, 114: 2/4, 115: 5/8, 117: 6/8, 122: 3/4	0				Maurice Ravel lol2	Jeux d'eau								2017-11-19	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/5364550		3.6.2	25-94 (Db1-Bb6)	1905	1901	34-94 (Bb1-Bb6)	Piano	25-94 (Db1-Bb6)	Piano		Piano
MS3	Ravel_-_Miroirs_II._Oiseaux_tristes	40	40	1: -6, 10: 4, 24: -1, 34: 0, 37: -6	1: 4/4, 3: 3/4, 4: 4/4, 6: 12/8, 7: 4/4, 9: 2/4, 10: 4/4, 22: 2/4, 23: 4/4, 30: 2/4, 34: 4/4	0				Maurice Ravel	Jeux d'eau								2017-11-19	3.02	Microsoft Windows	http://musescore.com/user/2749876/scores/5499618		3.6.2	30-95 (F#1-B6)	1905	1901	40-95 (E2-B6)	Piano	30-89 (F#1-F6)	Piano		Piano
